,input,output,output_length,input_length,percentage_decrease,model_name,time
21,"Deka 7 transfer for CGQ Thermal Shock test S1331 500 Shocks; Qd +4/-4% Shift from baseline TP7072 - ER1149 (WO#M123-02), TP7363 - ER1150 (WO#M123-08) Short Standard tip","Deka 7 transfer for CGQ Thermal Shock test S1331 500 Shocks; Qd +4/-4% Shift from baseline TP7072 - ER1149 (WO#M123-02), TP7363 - ER1150 (WO#M123-08) Short Standard tip",168,168,0.0,0.3_0.6_2_True_True,0.0
15,1) Target Customer requirement delivered at Nu ATK project $01A0 in UDS $22 service D is defined by '8'. Select Lever Switch Displayed via GDS after changing Manual Mode 12,1) Target Customer requirement delivered at Nu ATK project $01A0 in UDS $22 service D is defined by '8'. Select Lever Switch Displayed via GDS after changing Manual Mode 12,172,172,0.0,0.3_0.6_2_True_True,0.0
1,"Specification (+5% / -3%) 200M Audit: 47362 = -10.1%, 47371 = -6.2%, 47384 = -6.1% 300M Audit: 4742 2= -6.7%, 47421 = -3.3% *Reference 8D ES191216231144 for additional dynamic lean failures","Specification (+5% / -3%) 200M Audit: 47362 = -10.1%, 47371 = -6.2%, 47384 = -6.1% 300M Audit: 4742 2= -6.7%, 47421 = -3.3% *Reference 8D ES191216231144 for additional dynamic lean failures",189,189,0.0,0.3_0.6_2_True_True,0.0
20,"Injectors mechanically inoperable after 400 cycles of thermal shock, functional issues noted since 100 cycles TP 7072: M084U28120 M084U29625, TP7363: M085K27336 Containment Action - NPN - within Validation",Injectors mechanically inoperable after 400 cycles of thermal shock. functional issues noted since 100 cycles,109,205,0.4682926829268293,0.3_0.6_2_True_True,1.9757444858551025
14,1) Current $01A0 in UDS $22 service D is defined by '5'. Lever Switch Displayed via GDS before changing 2) Impact: Roll and brake test in customer plant cannot be passed due to wrong gear information from TCU,1) Current $01A0 in UDS $22 service D is defined by '5'. Lever Switch Displayed via GDS before changing 2) Impact: Roll and brake test in customer plant cannot be passed due to wrong gear information from TCU,208,208,0.0,0.3_0.6_2_True_True,2.0694661140441895
25,"1. Repeat thermal exposure of sample of n-Heptane from Cell 9 to verify removal of orange/brown residue-causing contaminant. Resp. B. Hindman, due: 6 May 2022 COMPLETE 2. TBD based on future transfer validations (that include thermal exposure)",1. Repeat thermal exposure of sample of n-Heptane from Cell 9 to verify removal of orange/brown residue- causing contaminant. 2,127,243,0.4773662551440329,0.3_0.6_2_True_True,2.7693519592285156
51,As there are no technical problems in VT deliverables the created IMS Issue 14600526 will be used for documentation of all performed actions. Also an investigation on a buffer behavior of ElektroBit deliverable SecOC will be handeled with this issue.,As there are no technical problems in VT deliverables the created IMS Issue 14600526 will be used for documentation of all performed actions,140,250,0.44,0.3_0.6_2_True_True,2.2647485733032227
46,"Sporadic CAN frame dropouts existing in Pre-SW-versions of SE1500. This leads to a sporadic dropout of Message ESP21 and triggers toggling of vs SAE (raw value of vehicle speed), which leads to alternating values between 0 and 255 (replacement/substitute value).",Sporadic CAN frame dropouts existing in Pre-SW-versions of SE1500,65,262,0.7519083969465649,0.3_0.6_2_True_True,2.9970850944519043
0,"WO# K150-08, Deka 10 TP1008 DV dynamic lean shift failure observed In RSG E-10 test bench mechanical durability per S1297 Injectors were manufactured in Prototype Services May 29, 2019. Configuration: 12.55mm OD,Extra Short, 10mm Tip, Schaleger MPG, NPN ATB, NPN LSS","WO# K150-08, Deka 10 TP1008 DV dynamic lean shift failure observed In RSG E-10 test bench mechanical durability per S1297 Injectors were manufactured in Prototype Services May 29, 2019. Configuration: 12.55mm OD,Extra Short, 10mm Tip, Schaleger MPG, NPN ATB, NPN LSS",266,266,0.0,0.3_0.6_2_True_True,3.2283644676208496
52,"As there are no technical problems in VT deliverables a lessons learned on VT side could not be performed, as the failure is fully triggered/caused by VW Restbus simulation. Also preventive Actions are not definable, as restbus simulation is under control of VW here.","As there are no technical problems in VT deliverables a lessons learned on VT side could not be performed, as the failure is fully triggered/caused by VW Restbus simulation. Also preventive Actions are not definable, as restbus simulation is under control of VW here.",267,267,0.0,0.3_0.6_2_True_True,2.4064693450927734
44,"200% visual inspection in supplier side and last one month with safe launch. Trial run 10pcs chip samples and 50pcs normal part to verify the brush performance, all chip are completely wiped out. - Done Dec.25th.2018 No chips were found after 33680pcs sorting. -- Done",200% visual inspection in supplier side and last one month with safe launch. Trial run 10pcs chip samples and 50pcs normal part to verify the brush performance,159,268,0.40671641791044777,0.3_0.6_2_True_True,2.9330267906188965
16,in Nu ATK CVT Spec was only SWCN canceled Why Why Why Wrong managem spec and sw) wrong value was not set back value from $22 service Spec ewed was with not revi reference for UDS Why for not used to review er requirement 6VA project Customer require d based on spec for the test,in Nu ATK CVT Spec was only SWCN canceled Why Why Why Wrong managem spec and sw) wrong value was not set back value from $22 service Spec ewed was with not revi reference for UDS Why for not used to review er requirement 6VA project Customer require d based on spec for the test,278,278,0.0,0.3_0.6_2_True_True,2.6369845867156982
48,"Identify the root cause of CAN frame / ESP21 dropouts and the the location of the failure (VT side or VW side). If failure is on VT side define timing for problem solution (SW correction) and allign it with overall SW timing for SE1500/SE1550, depending on severity of the problem","Identify the root cause of CAN frame / ESP21 dropouts and the the location of the failure (VT side or VW side). If failure is on VT side define timing for problem solution (SW correction) and allign it with overall SW timing for SE1500/SE1550, depending on severity of the problem",280,280,0.0,0.3_0.6_2_True_True,3.081127882003784
8,"All BMW plants (using SCR systems) are infected, also all variants (using SCR system). After some minutes the test can be repeated without the failure. BMW decided to send the cars out. Just one system affected were the second test was also not ok. this system will be send to RGB.",All BMW plants (using SCR systems) are infected. After some minutes the test can be repeated without the failure. BMW decided to send the cars out,146,281,0.4804270462633452,0.3_0.6_2_True_True,2.5531694889068604
35,"Out of specification spray angle for DDU transfer PV parts, Specification allows 70°+25°, parts observed as low as 36° Situation pertains to both GM and HMC parts produced for transfer PV, but not to Ford parts No containment needed - parts not being produced for customer, only for PV","Out of specification spray angle for DDU transfer PV parts, Specification allows 70°+25°, parts observed as low as 36° Situation pertains to both GM and HMC parts produced for transfer PV, but not to Ford parts No containment needed - parts not being produced for customer, only for PV",285,285,0.0,0.3_0.6_2_True_True,2.9516451358795166
7,BMW complained first issues 07/2018 (19.07.) @plant Dingolfing (Hr. Habold MUC). There're no specific OBD failure code. The failure appears after first SCR system initiation (F1_Test). Failed at test step: System leak test. Service 31 ID 0x301 Detailed failure description see attachment (EINFÜGEN!).,BMW complained first issues 07/2018 (19.07.) @plant Dingolfing (Hr. Habold MUC). There's no specific OBD failure code,117,300,0.61,0.3_0.6_2_True_True,3.317129611968994
11,"Alignment with customer is to increase the current test pressure of 5.5bar to 6.5bar (Daimler Setup). Software validation performed and passed. Calibration data was sent 20thof November. BMW internal tests ongoing. Software is planned to be implemented with next I-Step 1430 (active: 07/2019, data freeze: 28.11.2018).",Alignment with customer is to increase the current test pressure of 5.5bar to 6.5 bar (Daimler Setup) Software validation performed and passed. Calibration data was sent 20thof November,185,318,0.41823899371069184,0.3_0.6_2_True_True,3.2423291206359863
5,"AMC PV6 (L062-05) PV8 (L113-03) and PV9 (L209-03, L209-04) were analyzed for dynamic flow shift from nominal while introducing end of test line variability to determine the product robustness vs. system sensitivity to absolute flow. The analysis shows a capability of 1.27 to the allowable flow shift defined by the Non-Auto system integration team","AMC PV6 (L062-05), PV8 (L113-03) and PV9 (L209-03, L209-04) were analyzed for dynamic flow shift. The analysis shows a capability of 1",134,348,0.6149425287356322,0.3_0.6_2_True_True,3.5524988174438477
13,"1) What vehicle CN7/CN7a 2) Product SIM3K-541, SW version 6VA600 3) Who issued HMMA QC 4) How HMMA QC reported that '5' instead of 'D' was displayed for the select lever switch information via UDS $22 in Roll &Brake process of CN7 vehicle. And compared to the project Nu ATK CVT, different value was displayed for D range. 5) Containment action 9,124EA to be reprogrammed in HMMA plant","1) What vehicle CN7/CN7a 2) Product SIM3K-541, SW version 6VA600 3) Who issued HMMA QC 4) How HMMA QC reported that '5' instead of 'D' was displayed for the select lever switch information via UDS $22 in Roll &Brake process of CN7 vehicle. And compared to the project Nu ATK CVT, different value was displayed for D range. 5) Containment action 9,124EA to be reprogrammed in HMMA plant",385,385,0.0,0.3_0.6_2_True_True,4.574763536453247
12,Software validation performed and passed. For the evaluation six failed (rejected by customer) and 21 new pumps were used. Results are shown in separate file. Software update in place since I-Step 19-3-510. Monitoring since several months showed a significant decrease of failures (less than 1 percent one car) over all BMW closed by customer. Passive monitoring ongoing on customer site.,Software validation performed and passed. For the evaluation six failed (rejected by customer) and 21 new pumps were used,121,388,0.6881443298969072,0.3_0.6_2_True_True,1.8550376892089844
38,"Reducing the amount the valve was recessed was found to mitigate the risk of cone angle of spec while also avoiding the risk of leak failures. The final nominal value chosen was between the production maximum recessed value and the Loop 1 minimum recessed value (actual values below). Loop 1 Amount Pin Recessed: Loop 2 Normal Production Pin LSL Loop 2: 0,07+0,04 Pin USL Sharp edge Dia OPT3",Reducing the amount the valve was recessed was found to mitigate the risk of cone angle of spec,95,391,0.7570332480818415,0.3_0.6_2_True_True,3.8755550384521484
40,"When: On Dec.5th.2018, CAF CQ3 found one piece injector stuck open during vehicle testing. What: The chips from VB was found in the seat sealing area after tear down injector on Dec. 11st.2018 Which supplier of VB: Asimco Beijing Picture 1 2 - Containment action: Dec.10th.2018: Fast response to customer and send back the suspected part. 100% VB sorting in CGQ plant and supplier side. No chips part was",CAF CQ3 found one piece injector stuck open during vehicle testing. Chips from VB were found in the seat sealing area after tear down injector,142,404,0.6485148514851485,0.3_0.6_2_True_True,2.8856582641601562
32,"Deactivation of anti jerk function) in an affected calibration variant in B88 to check if the flash process works - Deactivation of copying process and crosscheck if the flash process works in combination with activated anti jerk function is working (addresses A0045554 / A0055554 / A0065554 / A0075554 must have the value ""5E"") - Check of ECU returns from customer BMW caused by a flash lock during end of line test.",Deactivation of anti jerk function) in an affected calibration variant in B88 to check if the flash process works. Deactivation of copying process and crosscheck if theFlash process works in combination with activated anti jerkfunction is working,246,417,0.41007194244604317,0.3_0.6_2_True_True,4.600634336471558
26,-Complete thermal exposure of sample of N-Heptane from cell 9 to see if orange/brown residue remains (try to get enough for FTIR analysis). Resp. M. Mosser COMPLETE -Change test fluid/filter in cell 9 (after test above). Resp. J. Copeland COMPLETE 3/14/2022 -Filter and fluid changed again in Cell 9 with re-sample taken on 4/27/22 (see slide 11-12 results) COMPLETE See ES2110012503951 for incident regarding Deka IV/V.,-Complete thermal exposure of sample of N-Heptane from cell 9 to see if orange/brown residue remains (try to get enough for FTIR analysis) Resp. M. Mosser COMPLETE -Change test fluid/filter in cell 9 (after test above). Resp. J,227,420,0.4595238095238095,0.3_0.6_2_True_True,5.601955413818359
33,"- B88 with calibration workaround Upd 1.21.08: C00 SW is replacing B88 in all car variants - C00 Software update planned for 31st of July. Upd. 21.08.: done; SW submitted End of July. Automated dataset check with the Continental Script for all dataset updates to software variants until C00 by customer BMW. Upd. 21.08.: tool based checkup of all relevant ""singe cycle flash commands"" are created and submitted to customer",- B88 with calibration workaround Upd 1.21.08: C00 SW is replacing B88 in all car variants - C00 Software update planned for 31st of July,137,422,0.6753554502369669,0.3_0.6_2_True_True,4.573431491851807
39,"PV Loop 2 spray angle testing. (PV Loop 1 is used to verify the parts against all of the standard tests in VT spec S1268. PV Loop 2 is used to verify the Loop 2 LH against the functional requirements, including spray cone angle.) 100% of parts passed PV Loop 2 with results equivalent to production parts from NPN. Design has been finalized with supplier 94% FPY for poppet Mass Flow Test indicated design update successful",100% of parts passed PV Loop 2 with results equivalent to production parts from NPN. Design has been finalized with supplier 94% FPY for poppet Mass Flow Test indicated design update successful,193,423,0.5437352245862884,0.3_0.6_2_True_True,3.356536388397217
43,"1. Supplier add error-proof dedicated fixture to fix the length of tool with correct position. - Done 2:Supplier update the Non-confirmation control procedure, debug part must be scrap and mark with red marking. - Done Dec.25th.2018 3. Supplier update the optical inspection WI and issue boundary samples in line. --Done 4. Supplier internal process audit, they already added dedicated brusher to clean the inner surface of VB in E/Sep. .2018.","1. Supplier add error-proof dedicated fixture to fix the length of tool with correct position. - Done 2:Supplier update the Non-confirmation control procedure, debug part must be scrap and mark with red marking - Done Dec.25th",226,443,0.4898419864559819,0.3_0.6_2_True_True,4.42724871635437
24,"Create Procedure/Instruction document for Cell 9 including statements about o-ring lube application (see verbiage in IN-062802/IN-062803). Resp. J. Copeland, due: 31 Mar 2022 > IN-96627953 in eSign for approval (esign 50324386) COMPLETE Create (Preventative) Maintenance document for Cell 9 with intervals for filter and fluid changes. Resp. J. Copeland, due: 31 Mar 2022 > PM document reviewed and sent back to author for revisions, 4/11 COMPLETE",Create Procedure/Instruction document for Cell 9 including statements about o-ring lube application. Resp. J,108,447,0.7583892617449665,0.3_0.6_2_True_True,4.2003984451293945
27,09.07. BMW (Rolls Royce) communicated an issue @plant Goodwood. Problem only with D-sample ECU together with 18-07-530 B88 software and affected datasets concerning the synchronization of the immobilizer (EWS elektronische Wegfahrsperre); key is not writeable with any tooling anymore. Further investigation showed that the re-programming of the ECU (MSD87 - 12 cylinder) is not possible anymore for some dataset variants of the SW B88 (e.g.: RR4 US BB / RR5 US / RR6 US BB).,BMW (Rolls Royce) communicated an issue @plant Goodwood. Problem only with D-sample ECU together with 18-07-530 B88 software and affected datasets. Key is not writeable with any tooling anymore,193,475,0.5936842105263158,0.3_0.6_2_True_True,4.194969654083252
37,Supplier change for DDU lower housing (LH) (NPN components Texeido) and obsolete machinery used to produce the part resulted in the update of certain LH print dimensions to reduce leak failures. This resulted in a valve that was more recessed inside the LH than normal NPN production parts and the risk of having some parts out of spec for spray cone angle. )These parts are identified as Loop 1) This issue was able to be turned on and off by varying the amount by which the valve was,Supplier change for DDU lower housing (LH) (NPN components Texeido) and obsolete machinery used to produce the part resulted in the update of certain LH print dimensions to reduce leak failures,193,485,0.6020618556701031,0.3_0.6_2_True_True,5.439177513122559
28,Initial status: An analysis of locked ECUs showed that only SW variants which have an activated anti jerk function are affected. BMW Customer part#: 9453018-01 (SW 9SP9B88S) Upd. 13th of July: Customer updated all data variants of the SW B88 with calibration workaround and deactivated anti jerk function. Upd. 18th of July: One cycle resume command of the controller enable the flash protection during start up and locked the ECU; SW update planned for SW C00 in CW31 (activation of anti jerk is possible again).,BMW says only SW variants which have an activated anti jerk function are affected. BMW Customer part#: 9453018-01 (SW 9SP9B88S) Upd. 13th of July: Customer updated all data variants of the SW B88 with calibration workaround and deactivated anti jerky function. UpD,264,513,0.4853801169590643,0.3_0.6_2_True_True,5.722387790679932
31,B88 with calibration workaround already done by BMW on13th of July COO with deactivation of root cause (memory copying process) Software update planned for 31st of July Which other SW variants / BMW projects could be affected All MSD87 12 cylinder SW variants since 2005 (SOP) are affected with this issue All other BMW projects are not affected (memory copying process deactivated for serial ECU samples) Check of other critical Single Cycle Flash Commands Script for automated dataset check available for BMW right now.,B88 with calibration workaround already done by BMW on13th of July COO with deactivation of root cause (memory copying process) Software update planned for 31st of July Which other SW variants / BMW projects could be affected All MSD87 12 cylinder SW variants since 2005 (SOP) are affected with this issue All other BMW projects are not affected (memory copying process deactivated for serial ECU samples) Check of other critical Single Cycle Flash Commands Script for automated dataset check available for BMW right now.,521,521,0.0,0.3_0.6_2_True_True,3.0978894233703613
4,"1. Review of defined dynamic tolerance vs system sensitivity to absolute flow (flow shift from nominal) compared to testing definition of shift from baseline. Resp. NCS, Status: Complete -> +8% shift from nominal capability (slide 15) 2. Determine injector flow shift capability in test bench RSG E-10 mechanical durability from nominal vs. baseline, Resp. J. Hatfield, Status: Complete - +8% from nominal results in capability of CpK = 1.27 (slide 16) Upper Limit Lower Limit CpK Test Samples Out of Spec Shift from Baseline Shift from Nominal",1. Review of defined dynamic tolerance vs system sensitivity to absolute flow. 2. Determine injector flow shift capability in test bench RSG E-10 mechanical durability from nominal vs. baseline,193,544,0.6452205882352942,0.3_0.6_2_True_True,3.4547600746154785
50,"As the failure is caused by VW Restbus simulation a syncronisation with Customer will take place in regular ""Technikrunde"" on 18.03.2022. VT has no technical problem in deliverables/current SW Version! In general, a discussion on overall robustness of VW bus handling/concept needs to be done also. VT internal the usage of a missing message linker, which increases the robustness of the concept, was already discussed and afterwards denied by VW. This discussion needs to be refreshed till end of Q2/22 (Resp. CoRe SOK). Tracking is done via VW ASG 2.2 Project PAIL Al #182.","As the failure is caused by VW Restbus simulation a syncronisation with Customer will take place in regular ""Technikrunde"" on 18.03.2022. Tracking is done via VW ASG 2.2 Project PAIL Al #182. VT internal the usage of a missing message linker, which increases the robustness of the concept",288,575,0.4991304347826087,0.3_0.6_2_True_True,6.305527448654175
23,"- RCH1: Handling damage - No visual damage found on inspection Not RCH RCH2: Issue with Exsol D40 used as calibration fluid Not RCH (review FTIR results) RCH3 Contamination introduced in assembly process -> Not RCH Injector M085K27336 was sumberged in n-Heptane for 24 hours, post soak injector returned to nominal flow values RCH4: Fluid introduced post injector assembly Primary RCH RCH4.1: Functional Bench Fluid - Not RCH RCH4.2: O-ring lubrication -> Confirmed RCH Mineral oil confirmed to match residue observed within stuck injectors IN-062802/IN-062803 (cell 6/cell 7) instructs technician to lightly lubricate upper injector oring prior to insertion in test head","- RCH1: Handling damage - No visual damage found on inspection Not RCH RCH2: Issue with Exsol D40 used as calibration fluid Not RCH (review FTIR results) RCH3 Contamination introduced in assembly process -> Not RCH Injector M085K27336 was sumberged in n-Heptane for 24 hours, post soak injector returned to nominal flow values RCH4: Fluid introduced post injector assembly Primary RCH RCH4.1: Functional Bench Fluid - Not RCH RCH4.2: O-ring lubrication -> Confirmed RCH Mineral oil confirmed to match residue observed within stuck injectors IN-062802/IN-062803 (cell 6/cell 7) instructs technician to lightly lubricate upper injector oring prior to insertion in test head",671,671,0.0,0.3_0.6_2_True_True,8.750703573226929
10,"Components/systems analysis: TFM/System: Drop of pressure partly reproduceable at RBG testbench since 28.09.2018, but pressure values are still in tolerance and therefore the system leaktest is passed. During this test only the returned TFM was used and therefore the rootcause could be located to the TFM module. RDU: First part was NTF; cleanliness analysis t.b.d CW 40 To be clarified Is there any connection between failure re-occurrence and time between first and second Components analysis in consideration of failure description (leakage, damages, Full pump characterization cw40 to locate source of symptom Optimization of BMW test to be proved. Please consider the additional ""fault tree file"" and presentation ,,DD additional docs"".","TFM/System: Drop of pressure partly reproduceable at RBG testbench since 28.09.2018, but pressure values are still in tolerance. During this test only the returned TFM was used and therefore the rootcause could be located to the TFM module. Please consider the additional ""fault tree file"" and presentation,,DD additional docs""",327,742,0.5592991913746631,0.3_0.6_2_True_True,5.380608320236206
42,"Cause 1: One pcs of debug part was mixed into good parts by debug technician. Check the FTQ ( scrap record), only one piece (chips defect) part is missed in the record. Suspect part was produced on Jun.26.2018 in supplier side, the equipment manufacturer did the annual calibration on that day according to record on that day. Cause 2: Incorrect the length of drilling tool during debug Repeat the same failure mode with incorrect length 53.29mm of drilling tool The chip occur after change the length of tool. Cause 3: Visual check WI did not clearly specify this defect location and boundary samples. There are risky the operator skip the NG part during inspection. A al inspection operator A Cleaning operator Final inspector miss the defect part Cleaning process External technician mix the debug part VB chip (Why happened?( (Occur path)",One pcs of debug part was mixed into good parts by debug technician. Cause 2: Incorrect the length of drilling tool during debug Repeat the same failure mode with incorrect length 53.29mm. Cause 3: Visual check WI did not clearly specify this defect location and boundary samples,279,842,0.668646080760095,0.3_0.6_2_True_True,4.9854230880737305
49,"Debugging Session identifies that the restbus simulation, delivery from customer VW, is the main root cause for toggling of the ESP_21 Message. Here the ESP_21 message is sent 3 times in a row within timing of overall - 10ms. Regular/correct case would be here that a message transfer every 20ms is present (only one event/message per 20ms). @ - 412317 CAN E4 ESP_21_SOK_Signatur_SOK_XIX_E3V_ACANFD 429913 CAN FD SP_21_XIX_E3V_ACANFD 430361 CAN : E4 ESP_21_SOK_Signatur_SOK_XIX_E3V_ACANFI 449567 CAN 1 FD ESP_21_XIX__E3V_ACANFD CAN 1 E4 ICAS(TX) ASG 2.2 (RX): Message CAN ESP_21_XIX_E3V_ACANFD ICAS(TX) Message CAN FD SP_21_XIX_E3V_ACANFD ICAS(TX) ASG 2.2 (RX): Message ICAS(TX) ASG 2.2 (RX): Signature 1 ICAS(TX ASG 2.2 (RX): Signature 2 19.531318 E4 ICAS(TX) ASG 2.2 (RX): Signature 3 19.533198 CAN 1 E4 CAN : FD ESP_21_XIX_E3V_ACANFD 19.535459 CAN 1 E4 ESP_21_SOK_Signatur_SOK_XIX_E3V_ACAN CAN 1 FD ESP_21_XIX_E3V_ACANFD 19.551877 CAN 1 E4 ESP_21_SOK_Signatur_SOK_XIX_E3V_ACANFD","The restbus simulation, delivery from customer VW, is the main root cause for toggling of the ESP_21 Message. Here the ESP 21 message is sent 3 times in a row within timing of overall - 10ms. Regular/correct case would be here that a message transfer every 20ms is present (only one event/message per 20ms)",306,981,0.6880733944954128,0.3_0.6_2_True_True,13.012795686721802
3,"Reference 8D ES 191216231144 for detailed analysis of root cause hypotheses of design robustness RCH2 - Deka 10 design and process variation introduces inherent variability, resulting in isolated occurrences dynamic lean shift observation Why does dynamic lean shift occur in a percentage of the test population? Dynamic lean shift occurs due to an increase in opening time, and variation in opening time is seen part to part Why does opening time variation occur? Opening time variation is a resultant of variation in wear severity at the sealing interface Why is variation seen in ball to seat sealing band wear? Wear variation is a resultant of design robustness sensitivity to design and process parameter variation Why was variation of design and process parameters influence on dynamic shift not captured in Deka 10 CTG 8D S180711224450? Overall variation in small controlled builds not captured, resulting in small occurrence of flow shift being observed outside of the defined specification due to sensitivity and lack of robustness against the stack-up",Deka 10 CTG 8D S180711224450. Overall variation in small controlled builds not captured. Small occurrence of flow shift being observed outside of the defined specification due to sensitivity and lack of robustness against the stack-up.Reference 8D ES 191216231144 for detailed analysis of root cause hypotheses of design robustness,331,1061,0.6880301602262017,0.3_0.6_2_True_True,5.472362756729126
30,"Trigger is ""anti jerk"" function that activates flash protection and it is not possible to reprogram the ECU Only D-samples (serial parts) are affected. Some flash containers of SW version B86 to B88 show this behavior (BMW stated). Continental analysis of the various effected vehicle variants (e.g.: RR4 US BB / RR5 US / RR6 US BB) gave a hint to some special calibration data variant (activation of anti jerk function). BMW confirmed this finding with a crosscheck (deactivation of anti jerk function) in an affected calibration variant. To understand the root cause debugging of a D-sample ECU is necessary. A new ECU with Lauterbach access has to be built up for debugging. A changed S-Boot is necessary for debugger access. Switch is necessary to disable the Monitoring Unit (MU) and the Watchdog (WD). Debugging showed an issue that occurs due to copy process of the flash memory which is necessary for application ECUs but not for serial ECU samples. This process caused an Single Cycle Resume Command, which enables the Flash Protection. Therefore at least on one of the four addresses A0045554 / A0055554 A0065554 / A0075554 must have the value ""5E"" so that the flash protection is activated. One of these four addresses is used by the anti jerk function.",Only D-samples (serial parts) are affected. Some flash containers of SW version B86 to B88 show this behavior. A new ECU with Lauterbach access has to be built up for debugging. A changed S-Boot is necessary for debugger access. Switch is necessary to disable the Monitoring Unit (MU) and the Watchdog (WD). Debugging showed an issue that occurs due to copy process of the flash memory,385,1264,0.6954113924050633,0.3_0.6_2_True_True,7.982043027877808
17,"# Potential solutions (linked to the problems root cause) Prioritization (A, B, C) 1 UDS $22 & $2F service spec will be reviewed with customer requirement even the project is not pilot. A1 2 UDS $22 & $2F service test will be performed with customer requirement A1 3 Every release, spec and SW matching will be checked based on canceled RO in old LIMAS used project C3 4 UDS $22 & $2F service test will be performed by the G-SCAN tool ( GDS mobile ) in the step of final validation. B2 5 Spec and SW of 6VA will be modified to display D with hex value ""8"" A1 6 6V2 spec will be set back A2 Quick Wins To be Complexity of implementation (Efforts) Set up actionplan for implementing the chosen solution # Action Who due date status comment 1 Spec and SW of 6VA will be modified to display D with hex value ""8"" Developer/PMe 9/3 Closed SW was modified and delivered to customer. 2 6V2 spec will be set back. PMe 9/30 Closed Wrong spec set back and blue book was updated. 3 UDS $22 & $2F service spec will be reviewed with customer requirement even the project is not pilot. Developer/Review er/PMe From the next project Closed System requirement review based on customer requirement will be performed and this strategy was shared throughout the meeting. . Refer to the attached mail for the detail discussion result RE Lesson Learned System Final Test Cx ñ °ÃÉ 4 UDS $22 & $2F service test will be performed with customer requirement, Test engineer/PMe From the next project Closed The test with GDS mobile shall be performed and this test will be performed based on customer requirement 5 UDS $22 & $2F service test will be performed by the G-SCAN tool GDS mobile) in the step of final validation. Test engineer/PMe 30.Oct.2020 for CN7 From the next project Closed RI X Refer to the attached e-mail for discussion result GDS ÀizëÇÑ PCU Ág Learned System Final Test çx.ñ °OAI 6 Every release, spec and SW matching will be checked based on canceled RO in old LIMAS used project Developer/PMe From the next release Closed It will be checked during the Q review for release.","# Potential solutions (linked to the problems root cause) Prioritization (A, B, C) 1 UDS $22 & $2F service spec will be reviewed with customer requirement even the project is not pilot. 2 6V2 specs will be set back. 3 Every release, spec and SW matching will be checked based on canceled RO in old LIMAS used project C3 4 UDS$22&$2F test will be performed by the G-SCAN tool ( GDS mobile) in the step of final validation. 5 Spec and SW of 6VA will be modified to display D with hex value ""8"" A1 6 6V1 spec will also be setback. A2 Quick Wins To be Complexity of implementation (Efforts) Set up actionplan for implementing the chosen solution",641,2068,0.6900386847195358,0.3_0.6_2_True_True,14.986023187637329
